"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f.nw","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f.nw","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f.nw","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo","sample.rp","violence.rp","violence.rp.w","violence.rp.w2","violence.rp.wo","property_personal.rp","property_personal.rp.w","property_personal.rp.w2","property_personal.rp.wo","property_vh.rp","property_vh.rp.w","property_vh.rp.w2","property_vh.rp.wo"
"20","la barceloneta","2019",10659,934,738,8192,324,471,15173,702.497858037303,61.5567125815593,48.6390298556647,539.906412706782,21.3537204244381,31.0419824688592,9,15173,0,0,0,8,811.4433695832,6.06468127600471,3,288.247514990629,2.15434542020657,NA,NA,NA,12,2,103.373889305502,7.88905997331463,1.33518589981357,7,404.022905121296,113.806671225759,3.25174781949148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21","la barceloneta","2020",4240.90257879656,583.581661891117,519.785100286533,2590.55873925501,192.43553008596,354.541547277937,15173,279.503234613891,38.4618507804071,34.2572398527999,170.734774880051,12.6827608308153,23.3666082698172,95,15173,23,227.124694145363,10.7681463735985,60,664.636798046336,31.5109123363849,59,607.170832829311,28.7864092730544,NA,NA,NA,92,12,118.748007881946,31.8988272666172,5.49789577075391,45,822.470802135526,251.964017489644,36.0749557105576,23,244.681197765543,71.6478394032273,11.6507621897119,28,4,33.0471341523855,21.727121155078,1.52563015981455,13,228.432554188671,170.316457164902,10.1169614189493,7,63.4073305459964,30.7699220205324,3.00618749998819,30,4,34.4254739376969,24.0633893051203,1.63213667160457,9,103.562396066652,97.931931401836,4.90996826145446,11,107.323492684206,47.2384828223609,5.08828457820489
"22","sant pere, santa caterina i la ribera","2014",6220,710,274,4504,186,546,23170,268.450582649978,30.6430729391454,11.8256365990505,194.3892965041,8.02762192490289,23.5649546827795,208,23170,36,196.715615279765,31.4734015918044,52,265.282776816549,42.4437651188085,46,226.778022572827,36.2832191358021,30,123.35632592128,19.7363243334213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","sant pere, santa caterina i la ribera","2015",5863,701,278,4365,180,339,23170,253.042727665084,30.2546396201985,11.9982736296936,188.390159689253,7.76866637893828,14.6309883470004,105,23170,20,216.570592515361,17.7320982553328,30,283.679447774161,23.2267538382118,26,247.981228671657,20.3038993485327,NA,NA,NA,52,9,90.5936992533773,30.3828150875243,7.36183453954052,24,358.520756404526,196.978464720669,26.9533393095113,19,249.376990504457,127.110568290993,18.810034492557,11,1,10.1941420905108,10.1941420905108,0.834663317296597,5,101.228811456711,85.419235685898,7.93704062982927,5,75.392266030047,75.392266030047,5.32839073573232,10,2,20.3882841810215,20.3882841810215,1.66932663459319,5,47.7428639458497,47.7428639458497,3.90903097528694,3,29.8779582073752,29.8779582073752,2.44631038982971
"24","sant pere, santa caterina i la ribera","2016",6046,750,236,4509,210,341,23170,260.940871817005,32.3694432455762,10.1855848079413,194.605092792404,9.06344410876133,14.717306862322,19,23170,7,318.751233821885,7.75754798872965,9,446.159466654006,10.8583218069314,6,282.895587472326,6.88491796346345,NA,NA,NA,13,1,84.2289705896744,84.2289705896744,1.97083461421917,7,316.281447309205,171.086642251451,7.55742200550513,2,93.5818481562155,38.9924367317565,2.27753056589426,3,1,84.2289705896744,84.2289705896744,1.97083461421917,1,34.6040332710368,34.6040332710368,0.80245272184393,1,46.7909240781077,46.7909240781077,1.13876528294713,3,0,0,0,0,2,95.7318911598949,47.8659455799475,2.32985683167492,1,46.7909240781077,46.7909240781077,1.13876528294713
"25","sant pere, santa caterina i la ribera","2017",6602,905,323,4804,258,312,23170,284.937419076392,39.0591281829953,13.9404402244281,207.337073802331,11.1350884764782,13.4656883901597,75,23170,7,93.2360990195338,6.38047408440107,33,444.069816195011,30.3892589210902,28,375.912499110434,25.7250140642849,NA,NA,NA,46,4,52.8974068745242,18.1079339697352,3.6199555455898,21,361.098082545905,170.959251394402,20.2203608791046,10,150.580304780788,74.8869734995394,9.70533962920349,8,0,0,0,0,5,85.4590419438621,85.4590419438621,4.96344884805766,3,46.1790214019242,30.2526881312602,3.1601928051092,11,1,11.7643267878633,5.88216339393167,0.805074246774966,4,51.2193136342541,45.3371502403224,3.50511772479563,6,81.2109229580453,53.7389098255849,5.55754900465687
"26","sant pere, santa caterina i la ribera","2018",8356,1110,585,5891,350,420,23170,360.638757013379,47.9067760034527,25.2481657315494,254.251186879586,15.1057401812689,18.1268882175227,95,23170,24,251.429609087947,17.584423671324,82,872.500916143489,61.0207597217353,45,522.582321623438,36.5482370191187,NA,NA,NA,124,20,263.320466819426,62.4925014783401,17.4200029348196,69,821.665409896046,260.33559836704,54.2233566792608,25,312.557400906269,91.0527004254729,21.3411040412947,19,3,29.7807094422952,26.3455260050361,1.84276750481123,10,122.925632235359,79.2138180064436,7.70154009216035,6,77.1199588683706,61.9488667669399,5.39359717885159,21,3,23.0942934773834,16.2239266028652,1.61516315588016,9,86.6152394095983,53.0816557823444,6.05767583100676,8,104.27855833915,75.5281665023294,7.29300879209133
"27","sant pere, santa caterina i la ribera","2019",8109,1157,499,5587,352,514,23170,349.97842037117,49.9352611135089,21.5364695727234,241.130772550712,15.1920586965904,22.1838584376349,19,23170,18,1175.54840547121,15.7656566571527,30,1937.9097952729,25.9899297405441,13,767.301667151484,10.2905287272472,NA,NA,NA,54,18,1018.94909364023,162.759164048469,14.2718586197012,19,1236.80250675683,242.995358486854,16.6788384024174,17,884.518359492368,152.832464597804,13.37397149787,3,1,62.9438194511888,31.4719097255944,0.844159748368227,1,71.5317349035236,71.5317349035236,0.95933503659287,1,33.8806189550975,33.8806189550975,0.454383846119696,4,2,125.887638902378,62.9438194511888,1.68831949673645,1,71.5317349035236,71.5317349035236,0.95933503659287,1,33.8806189550975,33.8806189550975,0.454383846119696
"28","sant pere, santa caterina i la ribera","2020",4182.33524355301,814.713467048711,245.773638968481,2232.87965616046,365,523.968481375358,23170,180.506484400216,35.1624284440531,10.6074078104653,96.3694284057168,15.7531290461804,22.6140906938005,137,23170,55,416.114472379565,27.7300570314494,113,797.280311686784,53.1311213154815,79,537.082355638968,35.7914115971159,NA,NA,NA,166,36,303.714726358912,72.6360555858228,20.7184954107958,73,741.972076977268,223.546525902708,49.5266503359309,28,238.85703493935,74.3599538154687,16.0743501136612,19,6,42.6384438484423,20.5635597481669,2.76284781687925,8,97.9000620981139,72.9431216961989,5.81828403320601,5,53.6250567582686,36.6154130054347,3.6755147292737,26,6,42.2836531077775,25.7194661915076,2.81780180696804,12,80.5140802936305,55.40227689984,5.36549480148941,8,61.3242468999487,36.503667830947,4.08667560688708
"29","el fort pienc","2014",3122,393,193,2077,222,237,32649,95.6231431284266,12.0371221170633,5.91136022542804,63.6160372446323,6.79959569971515,7.2590278415878,122,32649,17,145.303261263377,28.50645177849,28,227.641420636428,44.66003807304,33,288.878155361402,56.6738222808528,17,144.19009695249,28.2880646309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
