"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo"
"11","sant pere, santa caterina i la ribera","2017-18",7479,1007.5,454,5347.5,304,366,23170,322.788088044886,43.482952093224,19.5943029779888,230.794130340958,13.1204143288735,15.7962883038412,170,23170,31,173.192720480458,23.9648977557251,115,660.614118586767,91.4100186428255,73,450.044639381812,62.2732510834035,NA,NA,NA,170,24,27700.2761794074,10183.2138068221,3512.71970755146,90,103876.035672778,38187.0517755829,13172.698903318,35,40396.2360949692,14850.5201349489,5122.71624017921,27,3,15.7292566045507,13.992992824684,1.84276750481123,15,107.785136899595,84.4816919735103,12.664988940218,9,61.8176706965817,46.273063150658,8.55378998396079
"12","sant pere, santa caterina i la ribera","2019-20",6145.6676217765,985.856733524355,372.386819484241,3909.93982808023,358.5,518.984240687679,23170,265.242452385693,42.548844778781,16.0719386915943,168.750100478214,15.4725938713854,22.3989745657177,156,23170,73,543.344782520659,43.495713688602,143,988.373488629699,79.1210510560256,92,575.651707267704,46.0819403243631,NA,NA,NA,220,54,97282.2880846991,23213.9957723288,7903.11354319708,92,165740.194514673,39549.7705750786,13464.5638143358,45,81068.5734039159,19344.9964769406,6585.92795266424,22,7,46.002004019217,22.3640481863394,3.60700756524747,9,90.1753711235556,69.0064990745171,6.77761906979888,6,50.0724635292964,35.9124978797998,4.1298985753934
"13","el fort pienc","2015-16",3096,353.5,191.5,2193,171,187,32649,94.826794082514,10.8272841434653,5.86541701124077,67.1689791417808,5.23752641734816,5.72758736867898,74,32649,11,152.607055937471,18.325708860849,20,262.55365328897,31.5285671489358,23,328.610037753441,39.4609007010109,NA,NA,NA,26,4,1255.64454719285,663.362184941856,160.570737466638,9,2825.20023118391,1492.56491611918,361.284159299935,11,3453.02250478033,1824.2460085901,441.569528033254,8,1,14.1054411420709,7.05272057103545,1.69384178297331,4,31.7800818413015,29.8948771011176,4.01275911744808,3,47.0832754847557,37.2987140752482,5.65396136796139
"14","el fort pienc","2017-18",3837.5,409.5,214,2863,169.5,181.5,32649,117.538056295752,12.5424974731232,6.55456522404974,87.6902814787589,5.19158320316089,5.55912891665901,113,32649,8,87.6885036970304,12.9272207331733,38,353.93294389076,52.1775272414946,25,204.597457978647,30.1621807788435,NA,NA,NA,42,6,1793.95495525248,980.749895920692,273.801753588853,17,5082.87237321537,2778.79137177529,775.771635168417,12,3587.90991050497,1961.49979184138,547.603507177706,9,3,20.64021500253,16.7486460974822,3.23276712651477,4,16.7948603524217,11.8728687045274,2.81295457861873,2,13.6843207945453,5.36686465116023,2.03057982010311
"15","el fort pienc","2019-20",3275.54011461318,373.19340974212,198.984240687679,2256.99140401146,181.777936962751,264.593123209169,32649,100.3258940431,11.4304698380385,6.09465039320283,69.128959662209,5.56764179493249,8.10417235471742,78,32649,5,69.2192814741125,8.51967672812215,33,462.731502523565,56.9541134993349,27,338.729074243527,41.6915944446813,NA,NA,NA,26,2,553.424895159629,211.602013185917,67.5011019374601,14,3873.9742661174,1481.21409230142,472.507713562221,5,1383.56223789907,529.005032964791,168.75275484365,5,1,8.87138717055478,8.87138717055478,1.09191180858189,3,23.8628935361284,23.8628935361284,2.65874265040345,1,6.63574064442781,3.31787032221391,0.816743022149535
"16","la sagrada família","2015-16",4818,449.5,277.5,3606.5,253,231.5,51911,92.8126986573173,8.65905106817437,5.34568781183179,69.4746778139508,4.87372618520159,4.45955577815877,135,51911,28,186.897928619534,40.5429227212894,31,236.198973143047,51.237575428033,32,251.89064392064,54.6414986304081,NA,NA,NA,49,11,3747.79749632547,1591.95027558829,809.357096851171,19,6473.46840274399,2749.73229419796,1397.98044001566,18,6132.75953944168,2605.00954187175,1324.4025221201,14,5,36.8390834249604,23.0638557745776,7.99133582406758,5,30.6675336368784,21.5990976028541,6.81497040558705,4,24.6515567821012,24.6515567821012,5.37887604390902
"17","la sagrada família","2017-18",5873,428.5,313.5,4647,277.5,206.5,51911,113.135944212209,8.25451253106278,6.03918244688024,89.5185991408372,5.34568781183179,3.97796228159735,173,51911,15,89.4681604542565,19.9144590665942,61,344.427349413656,76.6650875181539,37,216.245817972101,48.1335311742482,NA,NA,NA,72,7,2235.49911901968,1042.4631362716,545.025911652873,39,12454.9236631097,5808.00890208461,3036.57293635172,12,3832.28420403374,1787.07966217988,934.330134262068,15,1,2.30487332622875,2.30487332622875,0.647701118030747,6,31.4678755300676,21.4034807083549,7.57165501773933,2,10.7215859587628,6.53283296585126,2.44546493310455
"18","la sagrada família","2019-20",5383.70487106017,471.23782234957,306.932664756447,4083.65042979943,256.65329512894,265.230659025788,51911,103.710290132345,9.0778028230928,5.91267100915889,78.6663795688665,4.94410231220627,5.10933441902078,149,51911,24,168.982510090032,37.8272972021401,58,387.61703188521,86.7693624501209,47,288.492623546038,64.5800337898092,NA,NA,NA,70,9,3589.93128840589,1546.70363330345,758.833989440424,30,11966.4376280196,5155.67877767817,2529.44663146808,20,7977.62508534643,3437.11918511878,1686.29775431205,24,6,29.9421909934484,18.5452906942931,6.3720932063748,6,37.78833196851,32.3099700557047,8.08539728394481,10,68.5778107517515,40.3620252613651,14.5027305107426
"19","la dreta de l'eixample","2015-16",18844.5,1238,687,15827.5,417.5,674.5,44215,426.201515322854,27.9995476648196,15.5377134456632,357.966753364243,9.44249689019564,15.2550039579328,122,44215,6,47.617895475757,9.43896647733991,35,267.564933507138,53.0375484395639,43,331.525418684804,65.7159935794538,NA,NA,NA,128,21,16426.6123214843,7947.97648351461,3026.67917246663,63,49279.8369644529,23843.9294505438,9080.03751739989,44,34417.6639116814,16652.9031083163,6341.6135042158,33,7,44.1146343996021,28.7637182045229,7.25513742909003,13,77.5996247374762,72.6337565547046,14.258472555346,13,100.177503135622,70.8825556382898,18.3720406822043
"20","la dreta de l'eixample","2017-18",24136.5,1403,1034.5,20473,531.5,694.5,44215,545.8894040484,31.731312902861,23.3970372045686,463.032907384372,12.020807418297,15.7073391383015,170,44215,23,142.66373465972,31.2716584044576,49,312.085509397899,68.4086356364516,46,253.42556921859,55.5504722378232,NA,NA,NA,241,40,45725.0817288986,17997.9929195542,9935.49789724596,161,184043.453958817,72441.9215012055,39990.379036415,18,20576.2867780044,8099.09681379938,4470.97405376068,55,5,23.5332775748162,12.4630616637171,4.4163987739471,36,180.897409670286,116.264717748552,38.5390020945873,11,57.1353430243573,34.6784097434634,12.2425268326937
"21","la dreta de l'eixample","2019-20",19624.0558739255,1334.46561604585,1211.89541547278,15628.4297994269,620.517191977077,828.747851002865,44215,443.832542664831,30.1812872564932,27.4091465672912,353.464430610131,14.0340877977401,18.7435904331757,101,44215,14,128.75229150824,19.6091889350022,75,726.858996860881,110.701838635928,24,236.143378074659,35.9650306970986,NA,NA,NA,361,44,100190.856134365,36478.3986589208,15776.4861057509,257,585205.68242118,213067.010348696,92149.0211176812,38,86528.4666614974,31504.0715690679,13625.1470913303,58,7,63.4381605808476,24.3173051856435,11.9528791827861,37,223.264396151678,135.722186920135,33.6686232830939,11,68.6283977659392,51.6228110865573,10.026661679781
"22","l'antiga esquerra de l'eixample","2015-16",4785,598,340.5,3261.5,302.5,282.5,43112,110.98997958805,13.8708480237521,7.8980330302468,75.6517906847281,7.01660790499165,6.55269994433104,123,43112,16,155.274986194395,31.2503619854676,27,180.8700636582,36.4015808352869,26,202.902737145913,40.8358367246202,NA,NA,NA,56,11,4115.19811026189,2164.01985767654,798.445787919166,16,5985.74270583547,3147.66524752952,1161.37569151879,25,9352.72297786792,4918.22694926487,1814.6495179981,14,3,12.6702474974532,12.6702474974532,2.54422592799868,4,28.4026974363853,23.0484597916605,5.05798483370816,7,52.9162934161237,48.0200090521758,10.1328919375927
"23","l'antiga esquerra de l'eixample","2017-18",5673.5,651.5,518.5,3965.5,302,236,43112,131.599090740397,15.1118018185192,12.0268138801262,91.9813508999814,7.00501020597513,5.47411393579514,169,43112,8,45.0467172188778,10.02056146398,37,225.147801757962,50.0837247480973,38,229.754801937105,51.108543676308,NA,NA,NA,66,12,3839.10098451884,1821.12089680246,840.062279588278,23,7358.27688699444,3490.48171887137,1610.11936921087,13,4159.02606656208,1972.88097153599,910.067469553968,18,4,17.0361804471819,12.2065916521207,3.69524460770269,6,27.7521482008294,20.6042733498713,6.48827096714106,3,13.1176950971562,10.3372504873392,2.85927653883462
"24","l'antiga esquerra de l'eixample","2019-20",5346.37965616046,622.117478510029,499.623209169054,3603.25214899713,303.936962750716,317.449856733524,43112,124.011404160337,14.4302625373453,11.5889592032161,83.5788678093601,7.04993882795315,7.36337578246252,85,43112,24,245.142462119547,31.3784767911607,39,355.247687926723,45.4720542265181,42,464.759771559226,59.4897088788498,NA,NA,NA,113,12,10163.9783444662,3699.55478883401,1488.21770277705,59,49972.8935269588,18189.4777117672,7317.07037198716,32,27103.9422519099,9865.4794368907,3968.5805407388,30,4,41.652078669368,37.0701472748015,6.74779156452145,12,95.5384834412871,74.9329239872751,13.859372483325,14,121.305286319639,66.8299298741748,16.1035063535739
"25","la nova esquerra de l'eixample","2015-16",4448,603.5,247,3016.5,317.5,263.5,58642,75.8500733262849,10.2912588247331,4.21199822652706,51.4392414992667,5.41420824664916,4.49336652910883,157,58642,19,109.141486319792,27.6782113500769,39,235.296681187331,59.671088341167,49,301.496371732926,76.459287659453,NA,NA,NA,43,12,2280.65258784487,952.658121566449,589.202511207772,8,1520.43505856325,635.105414377633,392.801674138515,20,3801.08764640812,1587.76353594408,982.004185346287,14,2,7.52594331489515,2.78104297356973,1.96132189980742,1,2.69346627018223,2.69346627018223,0.660521328233538,11,57.0389337901125,38.4270059378257,14.5507575125483
"26","la nova esquerra de l'eixample","2017-18",5039,607,372,3546.5,317,196.5,58642,85.9281743460319,10.3509430101293,6.34357627638894,60.4771324306811,5.40568193444971,3.35084069438287,254,58642,30,130.495240929889,42.5323755062444,84,334.610261740748,109.059680638058,54,224.331729128038,73.1165464215287,NA,NA,NA,61,7,1676.81094564389,895.698704416633,529.779442728064,22,5269.97725773795,2815.0530710237,1665.02110571677,23,5509.52167854422,2943.01002879751,1740.70388324935,19,0,0,0,0,9,28.9230918232295,21.1023698208357,8.86398844817181,9,36.6462228109685,23.9611720448863,11.9441207079653
