"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f.nw","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f.nw","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f.nw","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo","sample.rp","violence.rp","violence.rp.w","violence.rp.w2","violence.rp.wo","property_personal.rp","property_personal.rp.w","property_personal.rp.w2","property_personal.rp.wo","property_vh.rp","property_vh.rp.w","property_vh.rp.w2","property_vh.rp.wo"
"14","la font de la guatlla","2015-20",617.593123209169,109.375835721108,80.1160458452722,313.603151862464,69.018147086915,45.4799426934097,10373,59.5385253262479,10.5442818587784,7.72351738602836,30.2326377964392,6.65363415472043,4.38445413028148,146,10373,24,161.139627352488,23.7009302779299,63,502.798634677371,73.9532266526787,56,401.690604171765,59.0819350844649,NA,NA,NA,40,8,69.6915147589116,9.86321522727388,9.98077573050401,5,44.067912788243,15.8200083635702,6.21197463697915,19,131.24341529123,37.197935693722,18.7022592858772,7,0,0,0,0,3,26.2494049200848,21.5082719198163,3.86084618705974,3,13.604849869895,7.87345617929099,2.00104470579878,26,3,24.6686825053361,24.6686825053361,3.62834849325059,13,87.8206106745892,73.3851082385414,12.9169354848426,9,48.9748371688089,38.5023104779364,7.20337523539016
"15","hostafrancs","2015-20",2658.75071633238,337.287965616046,120.638490926457,1912.96609360076,112.907831900669,174.950334288443,16155,164.577574517634,20.8782399019527,7.46756365994779,118.413252466776,6.98903323433417,10.8294852546235,223,16155,40,185.704931751561,41.1202226975705,76,346.820954457547,76.795778921786,39,176.284495275872,39.0342767717676,NA,NA,NA,66,17,80.7717515344618,18.2586856308107,17.4190145954482,25,114.198602074442,54.5289106106497,24.019651846405,17,75.3553269140398,28.8492704068621,16.4181069090006,19,2,10.2776710572798,5.1388355286399,2.2421517411141,8,39.3425404802042,30.1558920478855,8.10915787983195,7,36.9634724561755,22.0024892617717,8.04468743764526,32,4,19.1089867710854,16.6369715867677,4.23125968783191,19,83.4626409807391,71.0883512532383,18.4809436759964,7,32.3071618885704,22.1127116713,7.15370173023587
"16","la bordeta","2015-20",1129.45463228271,230.928844317096,100.450811843362,582.798949379179,95.5577841451767,119.718242597899,19443,58.0905535299446,11.8772228728641,5.16642554355614,29.9747440919189,4.91476542432632,6.15739559727916,233,19443,40,164.34307972952,38.7867567495564,73,321.760361442994,75.9389497353873,64,268.543666506718,63.3792301237927,NA,NA,NA,70,15,62.9920188575771,13.1852624368996,15.0835477297308,21,88.3540120194711,34.4009292091139,21.7173722022827,23,86.3594842493617,35.7160781184694,20.7899941271353,17,3,12.4298965652688,9.81084908135679,3.12447835556532,4,20.8178082176094,16.9656188413678,4.91322947534063,8,29.2903627798591,14.5843731939195,6.92976804021748,31,1,3.49206331188273,0.873015827970683,0.824164975215056,14,73.4526303692092,59.1751819755685,17.3356207723169,11,46.8584388057845,31.0197620098786,11.0591019142102
"17","sants-badal","2015-20",1589.48853868195,260.664278892073,107.612702960841,965.938872970392,120.968958930277,134.303724928367,24474,64.9460055030624,10.6506610644796,4.39702144973607,39.4679608143496,4.94275389925133,5.48760827524584,268,24474,48,181.408439308546,54.738468837129,102,379.455913433876,114.497626305228,47,172.442310986352,52.0330151238132,NA,NA,NA,56,10,26.6119091659522,7.82339593437346,8.31432576771387,22,80.2133359517878,30.4700924909873,24.7848544074017,19,72.9023646943873,38.3787435739573,22.1692686981191,14,3,10.1684672251775,4.04991937591571,3.06824935183998,5,19.2268665520247,10.1642518806046,5.90775671786485,6,20.1738840472089,14.3634882801831,6.08729961765333,42,10,37.5745323254513,9.99167660954997,11.3377986967198,24,84.8783305783128,41.3349168118152,25.6113214523953,8,26.7548058888275,20.9444101218018,8.07303736238048
"18","sants","2015-20",7197.23256924546,747.080229226361,252.440783190067,5564.13562559694,287.855300859599,345.720630372493,42310,170.107127611569,17.6572968382501,5.96645670503585,131.508759763577,6.80348146678324,8.17113283792231,495,42310,83,160.008404801369,91.3253773562194,141,278.805768527812,159.129403555403,97,195.240012579297,111.433945272885,NA,NA,NA,203,31,57.112878570992,20.5454356824643,32.0073198733029,92,181.886597815861,66.9680991368758,98.9909238386184,63,119.313662902378,40.546065110836,66.1726437818093,41,9,16.5775966319673,9.84585969969931,9.40738388070336,18,40.1552048987136,24.4093299822692,21.2573331887904,14,27.5587420809074,22.449590874579,15.5204290087719,57,8,15.2563164335407,7.4955080489316,8.70759793579967,24,43.4525246339946,31.9137157697117,24.8006860277507,22,43.8695960695576,37.8058753603746,25.038731062226
"19","les corts","2015-20",4587.59455587392,439.163801337154,306.995702005731,3301.89111747851,291.69770773639,247.846227316141,46599,98.4483477300784,9.42431814710946,6.58803197505806,70.8575531122666,6.25974179137728,5.31870270426707,947,46599,100,99.6033130561166,57.4356440735536,218,218.547541690433,126.024109364814,206,213.824330585869,123.300498437001,NA,NA,NA,216,25,25.8548804103485,6.90923168986714,14.9865119567552,65,92.8707771717446,39.9127939489848,54.9966511958955,85,100.896268329222,42.9493953490524,59.2777863254606,62,5,5.62551199077501,4.9522425416008,3.24391724050006,21,31.1546333906283,24.1469014713433,18.2066253008538,32,35.2485169803748,27.7032826674473,20.6914866223255,101,8,10.227716673048,8.6021294216017,5.89775055160436,43,42.1797943863147,34.3902757322241,24.3227216358068,44,44.4339455245097,34.7618704019535,25.6225641660288
"20","la maternitat i sant ramon","2015-20",2838.63896848138,310.931709646609,406.700573065903,1687.53868194842,203.221107927412,230.246895893028,23992,118.316062374182,12.959807837888,16.9515077136505,70.3375576003845,8.47036962018221,9.59681960207685,520,23992,70,112.948442520447,36.7390450458721,149,285.0341094661,92.7138148486592,117,228.74818587243,74.4055404164372,NA,NA,NA,99,13,25.0710992153838,16.3453417111372,8.13031151003852,29,81.1393571975694,34.1799348311674,25.5681691713403,37,91.0198055479303,37.8643619368828,28.5364903691522,32,3,6.35308975874616,3.60287139607714,1.95840773307072,9,24.8849231920791,18.6854918901193,7.91304036966829,16,52.1227793322974,38.0198078290598,16.026083327348,61,5,6.813106313316,5.17292936876335,2.2161174971662,28,53.7732521141637,43.5152276441832,17.4909709917219,24,54.4968373513511,42.7878381966413,17.7263335166965
"21","pedralbes","2015-20",1120.8299904489,122.377268385864,147.097421203438,693.438395415473,94.0425023877746,63.8744030563515,12000,93.4024992040751,10.198105698822,12.2581184336199,57.7865329512894,7.83687519898122,5.32286692136262,236,12000,24,125.966705926317,18.8344093043114,59,234.639106397339,35.0829922572588,84,378.390657064647,56.5765728306941,NA,NA,NA,36,5,70.8616305825937,14.3575695972453,10.6840707869894,7,72.4247608464171,23.1510511050228,10.7686604652818,22,137.009230176568,46.5642252975199,20.6423520797871,15,3,56.7551336571663,30.2300016358486,8.48596785602415,1,5.55689848475799,5.55689848475799,0.834620412538317,10,37.2584863481973,22.7047926030921,5.64191004087067,38,4,60.2291398891414,31.0985031938424,9.0053976118282,8,30.5774485660267,28.35260232766,4.57190793026652,21,75.7898002871235,52.0705319446029,11.3320111786894
"22","vallvidrera, el tibidabo i les planes","2015-20",391.316618911175,33.0014326647564,83.1127029608405,188.416905444126,58.8147086914995,27.9708691499522,4727,82.7832914980272,6.9814750718757,17.582547696391,39.8597219048289,12.4422908169028,5.91725600802882,59,4727,14,243.806157370771,14.4019247699735,24,436.350880633747,25.7757745906392,12,201.327671031546,11.8926691744739,NA,NA,NA,7,2,40.9071943041602,13.0174563187669,2.41643747341154,1,21.077485415325,10.5387427076625,1.24507257144489,4,73.3149606414048,38.6571703676183,4.33080345081417,1,0,0,0,0,0,0,0,0,1,25.4063540718331,25.4063540718331,1.50078408177937,5,0,0,0,0,4,72.1466046837708,72.1466046837708,4.26178725045297,1,25.4063540718331,25.4063540718331,1.50078408177937
"23","sarrià","2015-20",1401.12798471824,156.873925501433,146.796084049666,857.952722063037,147.242597898758,92.2626552053486,25137,55.7396660189459,6.24075766803647,5.8398410331251,34.1310706155483,5.85760424468944,3.67039245754659,269,25137,32,101.521811453391,26.9418900739413,55,190.354513967305,50.5163404490688,57,194.766100561015,51.6870886790092,NA,NA,NA,57,17,53.0650041458522,17.4409660080942,15.0958369443586,14,35.7758279528281,14.5020586530084,10.8912295663275,19,63.29225155316,24.1711511175104,17.1067416624192,20,5,15.1414557626868,5.2656634031327,4.54854362926435,4,9.06915007597114,8.4487398664778,2.76043441346396,11,37.3795690620386,29.8325080402057,9.9198017279577,34,2,5.3470022927998,1.51694835579336,1.41898914071152,12,44.2002567817667,37.8935065488298,11.7298779681552,17,60.9462664552179,53.399205433385,16.1739392525268
